"Grading","Country","Area","Town","Postcode","Name"
"2-star","England","Greater London South East","Nunhead","SE15 3BE","Ivy House"
"2-star","England","Greater London South East","Dulwich","SE21 7BJ","Crown & Greyhound"
"2-star","England","Greater London South East","Camberwell","SE5 8RS","Joiners Arms"
"2-star","England","Greater London South West","Earlsfield","SW18 4EP","Country House"
"2-star","England","Greater London South West","Wandsworth","SW18 1TF","Alma"
"2-star","England","Greater London South West","London","SW1A 2NH","Red Lion"
"2-star","England","Greater London South West","London","SW1A 2JR","St Stephen's Tavern"
"2-star","England","Greater London South West","London","SW1X 7NR","Grenadier"
"2-star","England","Greater London South West","London","SW1X 7PA","Paxton's Head"
"2-star","England","Greater London South West","Brixton","SW9 8AG","Duke of Edinburgh"
"2-star","England","Greater London West","Notting Hill","W11 2RP","Cock & Bottle"
"2-star","England","Greater London Central","London","W1D 5BG","French House"
"2-star","England","Greater London Central","London","W1W 7LQ","George"
"2-star","England","Greater London Central","London","W1W 6XW","Stag's Head"
"2-star","England","Greater London West","Paddington","W2 3QH","Mitre"
"2-star","England","Greater London West","Kensington","W8 7LN","Churchill Arms"
"2-star","England","Greater London Central","London","WC2H 8LE","Angel"
"2-star","England","Greater London Central","London","WC2R 0DW","Coal Hole"
"2-star","England","Greater London West","Teddington","TW11 9AS","Builders Arms"
"2-star","England","Greater London South East","Catford","SE6 3BT","Fellowship Inn"
"2-star","England","Greater London Central","London","EC1V 4PH","George & Dragon"
"2-star","England","Greater London West","Chiswick","W4 1LW","Tabard"
